No.	HEX	JP_name	EN_name	CN_name	JP_type	EN_type	CN_type	Power	Accuracy	PP
334	014E	てっぺき	铁壁	Iron Defense	はがね	Steel	钢	-	-	15
335	014F	とおせんぼう	挡路	Block	ノーマル	Normal	一般	-	-	5
336	0150	とおぼえ	长嚎	Howl	ノーマル	Normal	一般	-	-	40
337	0151	ドラゴンクロー	龙爪	Dragon Claw	ドラゴン	Dragon	龙	80	100	15
338	0152	ハードプラント	疯狂植物	Frenzy Plant	くさ	Grass	草	150	90	5
339	0153	ビルドアップ	健美	Bulk Up	かくとう	Fighting	格斗	-	-	20
340	0154	とびはねる	弹跳	Bounce	ひこう	Flying	飞行	85	85	5
341	0155	マッドショット	泥巴射击	Mud Shot	じめん	Ground	地面	55	95	15
342	0156	ポイズンテール	毒尾	Poison Tail	どく	Poison	毒	50	100	25
343	0157	ほしがる	渴望	Covet	ノーマル	Normal	一般	60	100	40
344	0158	ボルテッカー	伏特攻击	Volt Tackle	でんき	Electric	电	120	100	15
345	0159	マジカルリーフ	魔法叶	Magical Leaf	くさ	Grass	草	60	-	20
346	015A	みずあそび	玩水	Water Sport	みず	Water	水	-	-	15
347	015B	めいそう	冥想	Calm Mind	エスパー	Psychic	超能力	-	-	20
348	015C	リーフブレード	叶刃	Leaf Blade	くさ	Grass	草	70	100	15
349	015D	りゅうのまい	龙之舞	Dragon Dance	ドラゴン	Dragon	龙	-	-	20
350	015E	ロックブラスト	岩石爆击	Rock Blast	いわ	Rock	岩石	25	90	10
351	015F	でんげきは	电击波	Shock Wave	でんき	Electric	电	60	-	20
352	0160	みずのはどう	水之波动	Water Pulse	みず	Water	水	60	100	20
353	0161	はめつのねがい	破灭之愿	Doom Desire	はがね	Steel	钢	140	100	5
354	0162	サイコブースト	精神突进	Psycho Boost	エスパー	Psychic	超能力	140	90	5
