No.	Area_id	分列1	分列2	hex	JP_name	EN_name	CN_name
349	17-0	17	0	0011	5ばん　どうろ　そだてや	Route 5 Pokémon Day Care	5号道路 培育屋
350	17-1	17	1	0111	5ばん　どうろ - ヤマブキシティ　パス	Route 5 - Saffron City Path	5号道路 - 金黄市 过道
351	18-0	18	0	0012	6ばん　どうろ - ヤマブキシティ　パス	Route 6 - Saffron City Path	6号道路 - 金黄市 过道
352	18-1	18	1	0112	6ばん　どうろ無人住宅	Route 6 Unused House	6号道路无人房
353	19-0	19	0	0013	7ばん　どうろ - ヤマブキシティ　パス	Route 7 - Saffron City Path	7号道路 - 金黄市 过道
354	20-0	20	0	0014	8ばん　どうろ - ヤマブキシティ　パス	Route 8 - Saffron City Path	8号道路 - 金黄市 过道
355	21-0	21	0	0015	10ばん　どうろ　ポケモンセンター	Route 10 Pokécenter	10号道路精灵中心
356	21-1	21	1	0115	10ばん　どうろ　ポケモンセンター 2F	Route 10 Pokécenter 2F	10号道路精灵中心 2F
357	22-0	22	0	0016	11ばん　どうろ　パス　	Route 11 Path	11号道路 过道
358	22-1	22	1	0116	11ばん　どうろ　パス 2F	Route 11 Path 2F	11号道路 过道 2F
359	23-0	23	0	0017	12ばん　どうろ　パス　	Route 12 Path	12号道路 过道
360	23-1	23	1	0117	12ばん　どうろ　パス 2F	Route 12 Path 3F	12号道路 过道 2F
361	23-2	23	2	0217	12ばん　どうろ　住民の家	Route 12 House	12号道路房子
362	24-0	24	0	0018	15ばん　どうろ　パス　	Route 15 Path	15号道路 过道
363	24-1	24	1	0118	15ばん　どうろ　パス 2F	Route 15 Path 2F	15号道路 过道 2F
364	25-0	25	0	0019	16ばん　どうろ　住民の家	Route 16 House	16号道路房子
365	25-1	25	1	0119	16ばん　どうろ　パス　	Route 16 Path	16号道路 过道
366	25-2	25	2	0219	16ばん　どうろ　パス 2F	Route 16 Path 2F	16号道路 过道 2F
367	26-0	26	0	001A	18ばん　どうろ　パス　	Route 18 Path	18号道路 过道
368	26-1	26	1	011A	18ばん　どうろ　パス 2F	Route 18 Path 2F	18号道路 过道 2F
369	27-0	27	0	001B	19ばん　どうろ無人住宅	Route 19 Unused House	19号道路无人房
370	28-0	28	0	001C	22 - 23ばん　どうろ　パス　	Route 22 - 23 Path	23-23号道路 过道
371	29-0	29	0	001D	23ばん　どうろ無人住宅	Route 23 Unused House	23号道路无人房
372	30-0	30	0	001E	235ばん　どうろ　みさきのこや	Route 25 Sea Cottage	25号道路 海角小屋
373	31-0	31	0	001F	7のしま　住民の家	Island 7 House	第7岛房子
374	31-1	31	1	011F	7のしま　？？？	Island 7 ???	第7岛???
375	31-2	31	2	021F	7のしま　フレンドリィショップ	Island 7 Poké Mart	第7岛友好商店
376	31-3	31	3	031F	7のしま　ポケモンセンター	Island 7 Pokécenter	第7岛精灵中心
377	31-4	31	4	041F	7のしま　ポケモンセンター 2F	Island 7 Pokécenter 2F	第7岛精灵中心 2F
378	31-5	31	5	051F	7のしま　どうろ無人住宅	Island 7 Unused House	第7岛无人房
379	31-6	31	6	061F	7のしま　せんこう	Island 7 Ship Port	第7岛船港
380	32-0	32	0	0020	1のしま　ポケモンセンター	Island 1 Pokécenter	第1岛精灵中心
381	32-1	32	1	0120	1のしま　ポケモンセンター 2F	Island 1 Pokécenter 2F	第1岛精灵中心 2F
382	32-2	32	2	0220	1のしま　住民の家 1	Island 1 House 1	第1岛房子 1
383	32-3	32	3	0320	1のしま　住民の家 2	Island 1 House 2	第1岛房子 2
384	32-4	32	4	0420	1のしま　せんこう	Island 1 Ship Port	第1岛船港
385	33-0	33	0	0021	たのしい　ゲームコーナー	Joyful Game Corner	欢乐游戏城
386	33-1	33	1	0121	2のしま　住民の家 1	Island 2 House 1	第2岛房子 1
387	33-2	33	2	0221	2のしま　ポケモンセンター	Island 2 Pokécenter	第2岛精灵中心
388	33-3	33	3	0321	2のしま　ポケモンセンター 2F	Island 2 Pokécenter 2F	第2岛精灵中心 2F
389	33-4	33	4	0421	2のしま　せんこう	Island 2 Ship Port	第2岛船港
390	34-0	34	0	0022	3のしま　住民の家 1	Island 3 House 1	第3岛房子 1
391	34-1	34	1	0122	3のしま　ポケモンセンター	Island 3 Pokécenter	第3岛精灵中心
392	34-2	34	2	0222	3のしま　ポケモンセンター 2F	Island 3 Pokécenter 2F	第3岛精灵中心 2F
393	34-3	34	3	0322	3のしま　フレンドリィショップ	Island 3 Poké Mart	第3岛友好商店
394	34-4	34	4	0422	3のしま　住民の家 2	Island 3 House 2	第3岛房子 2
395	34-5	34	5	0522	3のしま　住民の家 3	Island 3 House 3	第3岛房子 3
396	34-6	34	6	0622	3のしま　住民の家 4	Island 3 House 4	第3岛房子 4
397	34-7	34	7	0722	3のしま　住民の家 5	Island 3 House 5	第3岛房子 5
398	35-0	35	0	0023	4のしま　そだてや	Island 4 Pokémon Day Care	第4岛 培育屋
399	35-1	35	1	0123	4のしま　ポケモンセンター	Island 4 Pokécenter	第4岛精灵中心
400	35-2	35	2	0223	4のしま　ポケモンセンター 2F	Island 4 Pokécenter 2F	第4岛精灵中心 2F
401	35-3	35	3	0323	4のしま　住民の家 1	Island 4 House 1	第4岛房子 1
402	35-4	35	4	0423	4のしま　カンナの　いえ	Island 4 Lorelei Home	第4岛科拿的家
403	35-5	35	5	0523	4のしま　せんこう	Island 4 Ship Port	第4岛船港
404	35-6	35	6	0623	4のしま　住民の家 2	Island 4 House 2	第4岛房子 2
405	35-7	35	7	0723	4のしま　フレンドリィショップ	Island 4 Poké Mart	第4岛友好商店
406	36-0	36	0	0024	5のしま　ポケモンセンター	Island 5 Pokécenter	第5岛精灵中心
407	36-1	36	1	0124	5のしま　ポケモンセンター 2F	Island 5 Pokécenter 2F	第5岛精灵中心 2F
408	36-2	36	2	0224	5のしま　せんこう	Island 5 Ship Port	第5岛船港
409	36-3	36	3	0324	5のしま　住民の家 1	Island 5 House 1	第5岛房子 1
410	36-4	36	4	0424	5のしま　住民の家 2	Island 5 House 2	第5岛房子 2
411	37-0	37	0	0025	6のしま　ポケモンセンター	Island 6 Pokécenter	第6岛精灵中心
412	37-1	37	1	0125	6のしま　ポケモンセンター 2F	Island 6 Pokécenter 2F	第6岛精灵中心 2F
413	37-2	37	2	0225	6のしま　せんこう	Island 6 Ship Port	第6岛船港
414	37-3	37	3	0325	6のしま　住民の家 1	Island 6 House 1	第6岛房子 1
415	37-4	37	4	0425	6のしま　フレンドリィショップ	Island 6 Poké Mart	第6岛友好商店
416	38-0	38	0	0026	3のしま　せんこう	Island 3 Ship Port	第3岛船港
417	39-0	39	0	0027	アキホの　おうち	Selphy Home	秋穗的家
418	40-0	40	0	0028	きわのみさき　きとうし	Cape Brink Channeler	祈祷师家
419	41-0	41	0	0029	みずのさんぽみち　住民の家 1	Water Path House 1	水之步道房子 1
420	41-1	41	1	0129	みずのさんぽみち　住民の家 2	Water Path House 2	水之步道房子 2
421	42-0	42	0	002A	しっぽうけいこく　住民の家	Sevault Canyon House	七宝溪谷房子
