No.	JP_name	EN_name	CN_name	HP	ATK	DEF	SPA	SPD	SPE	BST
408	ラティオス	Latios	拉帝欧斯	80	90	80	130	110	110	600
409	ジラーチ	Jirachi	基拉祈	100	100	100	100	100	100	600
410	デオキシス	Deoxys	代欧奇希斯	50	150	50	150	50	150	600
410	デオキシス	Deoxys	代欧奇希斯	50	70	160	70	160	90	600
411	チリーン	Chimecho	风铃铃	65	50	70	95	80	65	425
412	N/A	N/A	N/A	48	72	48	72	48	48	336
413	アンノーン（Ｂ）	Unown(B)	未知图腾（B）	48	72	48	72	48	48	336
414	アンノーン（Ｃ）	Unown(C)	未知图腾（C）	48	72	48	72	48	48	336
415	アンノーン（Ｄ）	Unown(D)	未知图腾（D）	48	72	48	72	48	48	336
416	アンノーン（Ｅ）	Unown(E)	未知图腾（E）	48	72	48	72	48	48	336
417	アンノーン（Ｆ）	Unown(F)	未知图腾（F）	48	72	48	72	48	48	336
418	アンノーン（Ｇ）	Unown(G)	未知图腾（G）	48	72	48	72	48	48	336
419	アンノーン（Ｈ）	Unown(H)	未知图腾（H）	48	72	48	72	48	48	336
420	アンノーン（Ｉ）	Unown(I)	未知图腾（I）	48	72	48	72	48	48	336
421	アンノーン（Ｊ）	Unown(J)	未知图腾（J）	48	72	48	72	48	48	336
422	アンノーン（Ｋ）	Unown(K)	未知图腾（K）	48	72	48	72	48	48	336
423	アンノーン（Ｌ）	Unown(L)	未知图腾（L）	48	72	48	72	48	48	336
424	アンノーン（Ｍ）	Unown(M)	未知图腾（M）	48	72	48	72	48	48	336
425	アンノーン（Ｎ）	Unown(N)	未知图腾（N）	48	72	48	72	48	48	336
426	アンノーン（Ｏ）	Unown(O)	未知图腾（O）	48	72	48	72	48	48	336
427	アンノーン（Ｐ）	Unown(P)	未知图腾（P）	48	72	48	72	48	48	336
428	アンノーン（Ｑ）	Unown(Q)	未知图腾（Q）	48	72	48	72	48	48	336
429	アンノーン（Ｒ）	Unown(R)	未知图腾（R）	48	72	48	72	48	48	336
430	アンノーン（Ｓ）	Unown(S)	未知图腾（S）	48	72	48	72	48	48	336
431	アンノーン（Ｔ）	Unown(T)	未知图腾（T）	48	72	48	72	48	48	336
432	アンノーン（Ｕ）	Unown(U)	未知图腾（U）	48	72	48	72	48	48	336
433	アンノーン（Ｖ）	Unown(V)	未知图腾（V）	48	72	48	72	48	48	336
434	アンノーン（Ｗ）	Unown(W)	未知图腾（W）	48	72	48	72	48	48	336
435	アンノーン（Ｘ）	Unown(X)	未知图腾（X）	48	72	48	72	48	48	336
436	アンノーン（Ｙ）	Unown(Y)	未知图腾（Y）	48	72	48	72	48	48	336
437	アンノーン（Ｚ）	Unown(Z)	未知图腾（Z）	48	72	48	72	48	48	336
438	アンノーン（！）	Unown(!)	未知图腾（!）	48	72	48	72	48	48	336
439	アンノーン（？）	Unown(?)	未知图腾（?）	48	72	48	72	48	48	336
